Kode,Tekst
D,Klassifikation af sygdomme og helbredsrelaterede tilstande
,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99]
,Infektiøse tarmsygdomme [DA00-DA09]
DA00,Kolera
DA000,Kolera forårsaget af Vibrio cholerae
DA001,Kolera forårsaget af Vibrio cholerae eltor
DA009,Kolera UNS
DA01,Tyfus og paratyfus
DA010,Tyfus
DA011,Paratyfus A
DA012,Paratyfus B
DA013,Paratyfus C
DA014,Paratyfus UNS
DA02,Andre salmonellainfektioner
DA020,Salmonellaenterit
DA021,Salmonellasepsis
DA022,Lokaliseret salmonellainfektion
DA028,Anden salmonellainfektion
DA029,Salmonellainfektion UNS
DA03,Bacillær dysenteri
DA030,Dysenteri forårsaget af Shigella dysenteriae
DA031,Dysenteri forårsaget af Shigella flexneri
DA032,Dysenteri forårsaget af Shigella boydii
DA033,Dysenteri forårsaget af Shigella sonnei
DA038,Anden bacillær dysenteri
DA039,Bacillær dysenteri UNS
DA04,Andre bakterielle tarminfektioner
DA040,Enteritis forårsaget af enteropatogen Escherichia coli-infektion
DA041,Enteritis forårsaget af enterotoksisk Escherichia coli-infektion
DA042,Enteritis forårsaget af enteroinvasiv Escherichia coli-infektion
DA043,Enteritis forårsaget af enterohæmoragisk Escherichia coli-infektion
DA044,Anden tarminfektion med Escherichia coli
DA045,Enteritis forårsaget af Campylobacter
DA046,Enteritis forårsaget af Yersinia enterocolitica
DA047,Enterokolitis forårsaget af Clostridium difficile
DA048,Anden bakteriel enteritis
DA049,Enteritis forårsaget af bakterier UNS
DA05,Andre bakterielle fødevareforgiftninger IKA
DA050,Fødevareforgiftning forårsaget af stafylokokker
DA051,Botulisme
DA052,Fødevareforgiftning forårsaget af Clostridium perfringens
DA053,Fødevareforgiftning forårsaget af Vibrio parahaemolyticus
DA054,Fødevareforgiftning forårsaget af Bacillus cereus
DA058,Anden bakteriel fødevareforgiftning
DA059,Bakteriel fødevareforgiftning UNS
DA06,Amøbedysenteri
DA060,Akut amøbedysenteri
DA061,Kronisk intestinal amøbeinfektion
DA062,Colitis forårsaget af amøbeinfektion
DA063,Amøbom i tarmen
DA063A,Amøbom UNS
DA064,Leverabsces forårsaget af amøbeinfektion
DA065,Lungeabsces forårsaget af amøbeinfektion
DA066,Hjerneabsces forårsaget af amøbeinfektion
DA067,Amøbeinfektion i huden
DA068,Amøbeinfektion med anden lokalisation
DA068A,Appendicitis forårsaget af amøbeinfektion
DA069,Amøbeinfektion UNS
DA07,Andre tarmsygdomme fremkaldt af protozoer
DA070,Balantidiasis
DA071,Giardiasis
DA072,Cryptosporidiosis
DA073,Isosporiasis
DA078,Anden tarminfektion forårsaget af protozoer
DA078A,Sarcocystose
DA078C,Trichomoniasis intestinalis
DA078D,Coccidiosis intestinalis
DA079,Tarmsygdom forårsaget af protozoer UNS
DA08,Tarminfektioner forårsaget af virus og andre organismer
DA080,Enteritis forårsaget af rotavirus
DA081,Akut gastroenteritis forårsaget af Norwalk-virus
DA082,Enteritis forårsaget af adenovirus
DA083,Enteritis forårsaget af anden virus
DA083A,Gastroenteritis forårsaget af parvovirus
DA084,Tarminfektion forårsaget af virus UNS
DA085,Tarminfektion forårsaget af anden (mikro)organisme UNS
DA09,Anden gastroenteritis og colitis af infektiøs eller ikke specificeret årsag
DA090,Anden og uspecifik gastroenteritis og colitis af infektiøs oprindelse
DA099,Gastroenteritis eller colitis af ikke specificeret årsag
,Tuberkulose [DA15-DA19]
DA15,Tuberkulose i åndedrætsorganer verificeret bakteriologisk og histologisk
DA150,Lungetuberkulose verificeret ved mikroskopi af ekspektorat med eller uden dyrkning
DA151,Lungetuberkulose verificeret alene ved dyrkning
DA152,Lungetuberkulose verificeret histologisk
DA153,Lungetuberkulose verificeret ved ikke angivet metode
DA154,Tuberkulose i intratorakale lymfeknuder verificeret bakteriologisk eller histologisk
DA155,"Tuberkulose i struben, luftrøret eller bronkier verificeret bakteriologisk eller histologisk"
DA156,Tuberkuløs lungehindebetændelse verificeret bakteriologisk eller histologisk
DA157,Primær tuberkulose i åndedrætsorganerne verificeret bakteriologisk eller histologisk
DA158,Anden tuberkulose i åndedrætsorganerne verificeret bakteriologisk og histologisk
DA158A,Tuberkulose i mediastinum verificeret bakteriologisk og histologisk
DA158B,Tuberkulose i næsen verificeret bakteriologisk og histologisk
DA158C,Tuberkulose i næsesvælget verificeret bakteriologisk og histologisk
DA159,"Tuberkulose i åndedrætsorganerne UNS, verificeret bakteriologisk eller histologisk"
DA16,Tuberkulose i åndedrætsorganer ikke bakteriologisk eller histologisk verificeret
DA160,"Lungetuberkulose, bakteriologisk og histologisk negativt fund"
DA161,"Lungetuberkulose, bakteriologisk og histologisk undersøgelse ikke er foretaget"
DA162,Lungetuberkulose uden angivelse af bakteriologisk eller histologisk verifikation
DA162A,Tuberkuløs lungefibrose UNS
DA162B,Tuberkuløs pneumoni UNS
DA162C,Tuberkuløs pneumothorax UNS
DA163,Tuberkulose i intratorakale lymfekirtler uden angivelse af bakteriologisk eller histologisk verifikation
DA164,"Tuberkulose i struben, luftrøret eller bronkier uden angivelse af bakteriologisk eller histologisk verifikation"
DA165,Tuberkuløs lungehindebetændelse uden angivelse af bakteriologisk eller histologisk verifikation
DA167,Primær tuberkulose i åndedrætsorganerne uden angivelse af bakteriologisk eller histologisk verifikation
DA168,Anden tuberkulose i åndedrætsorganerne uden angivelse af bakteriologisk eller histologisk verifikation
DA168A,Tuberkulose i mediastinum UNS
DA168B,Tuberkulose i næsen UNS
DA168C,Tuberkulose i næsesvælget UNS
DA169,"Tuberkulose i åndedrætsorganerne UNS, uden angivelse af bakteriologisk eller histologisk verifikation"
DA17,Tuberkulose i nervesystemet
DA170,Tuberkuløs meningitis
DA171,Tuberkulom i hjernehinder
DA178,Anden form for tuberkulose i nervesystemet
DA179,Tuberkulose i nervesystemet UNS
DA18,Tuberkulose i andre organer
DA180,Tuberkulose i knogler og led
DA181,Tuberkulose i urinveje og kønsorganer
DA182,Tuberkulose i perifere lymfeknuder
DA183,"Tuberkulose i tarm, bughinde og mesenteriale lymfeknuder"
DA183F,Tuberkulose i retroperitoneale lymfeknuder
DA183G,Tuberkuløs ascites
DA183H,Tuberkulose i mesenteriale lymfeknuder
DA184,Tuberkulose i hud og underhud
DA184A,Lupus
DA184B,Lupus excedens
DA184C,Lupus vulgaris
DA184D,Scrofuloderma
DA184F,Tuberculosis lichenoides
DA184G,Tuberculosis subcutis
DA184H,Tuberculosis verrucosa cutis
DA184I,Erythema induratum Bazin
