Kode,Tekst
M,Lægemiddelstofklassifikation ATC
MA,Fordøjelsesorganer og stofskifte
MA01,midler mod sygdomme i mundhulen
MA01A,stomatologica
MA01AA,midler mod caries
MA01AA01,natriumfluorid
MA01AA02,natriummonofluorophosphat
MA01AA03,olaflur
MA01AA04,stannofluorid
MA01AA30,kombinationer
MA01AA51,"natriumfluorid, komb."
MA01AB,antiinfectiva til lokal brug i mundhulen
MA01AB02,hydrogenperoxid
MA01AB03,chlorhexidin
MA01AB04,amphotericin
MA01AB05,polynoxylin
MA01AB06,domiphen
MA01AB07,oxyquinolin
MA01AB08,neomycin
MA01AB09,miconazol
MA01AB10,natamycin
MA01AB11,diverse antiinfectiva til lokal brug i mundhulen
MA01AB12,hexetidin
MA01AB13,tetracyclin
MA01AB14,benzoxoniumchlorid
MA01AB15,tibezoniumiodid
MA01AB16,mepartrizin
MA01AB17,metronidazol
MA01AB18,clotrimazol
MA01AB19,natriumperborat
MA01AB21,chlortetracyclin
MA01AB22,doxycyclin
MA01AB23,minocyclin
MA01AB24,octenidin
MA01AB25,oxytetracyclin
MA01AC,corticosteroider til lokal brug i mundhulen
MA01AC01,triamcinolon
MA01AC02,dexamethason
MA01AC03,hydrocortison
MA01AC04,prednisolon
MA01AC54,"prednisolon, kombinationer"
MA01AD,andre midler til lokal behandling i mundhulen
MA01AD01,adrenalin
MA01AD02,benzydamin
MA01AD05,acetylsalicylsyre
MA01AD06,adrenalon
MA01AD07,amlexanox
MA01AD08,becaplermin
MA01AD11,diverse
MA02,midler mod syrerelaterede forstyrrelser
MA02A,antacida
MA02AA,magnesiumforbindelser
MA02AA01,magnesiumcarbonat
MA02AA02,magnesiumoxid
MA02AA03,magnesiumperoxid
MA02AA04,magnesiumhydroxid
MA02AA05,magnesiumsilicat
MA02AA10,"magnesiumforbindelser, kombinationspræparater"
MA02AB,aluminiumforbindelser
MA02AB01,aluminiumoxid
MA02AB02,aluminiumhydroxid
MA02AB03,aluminiumphosphat
MA02AB04,dihydroxyaluminiumnatriumcarbonat
MA02AB05,aluminiumacetoacetat
MA02AB06,aloglutamol
MA02AB07,aluminiumglycinat
MA02AB10,"aluminiumforbindelser, kombinationspræparater"
MA02AC,calciumforbindelser
MA02AC01,calciumcarbonat
MA02AC02,calciumsilicat
MA02AC10,"calciumforbindelser, kombinationspræparater"
MA02AD,"kombinationer og complexer af aluminium-, calcium-, og magnesium-forbindelser"
MA02AD01,kombinationer af almindelige salte
MA02AD02,magaldrat
MA02AD03,almagat
MA02AD04,hydrotalcit
MA02AD05,almasilat
MA02AF,antacida og midler mod flatulens
MA02AF01,magaldrat og midler mod flatulens
MA02AF02,alm. saltkombinationer og midler mod flatulens
MA02AG,antacida og spasmolytica
MA02AH,antacida og natriumhydrogencarbonat
MA02AX,"antacida, andre kombinationer"
MA02B,midler mod mavesår og gastro-oesophageal reflux (gord)
MA02BA,H2-receptor antagonister
MA02BA01,cimetidin
MA02BA02,ranitidin
MA02BA03,famotidin
MA02BA04,nizatidin
MA02BA05,niperotidin
MA02BA06,roxatidin
MA02BA07,ranitidinbismuthcitrat
MA02BA08,lafutidin
MA02BA51,"cimetidin, kombinationspræparater"
MA02BA53,"famotidin, komb."
MA02BB,prostaglandiner
MA02BB01,misoprostol
MA02BB02,enprostil
MA02BC,protonpumpe-hæmmere
MA02BC01,omeprazol
MA02BC02,pantoprazol
MA02BC03,lansoprazol
MA02BC04,rabeprazol
MA02BC05,esomeprazol
MA02BC06,dexlansoprazol
MA02BC07,dexrabeprazol
MA02BC08,vonoprazan
MA02BC09,tegoprazan
MA02BC53,"lansoprazol, kombinationer"
MA02BC54,"rabeprazol, kombinationer"
MA02BD,komb. til bekæmpelse af heliobacter pylori
MA02BD01,"omeprazol, amoxicillin og metronidazol"
MA02BD02,"lansoprazol, tetracyclin og metronidazol"
MA02BD03,"lansoprazol, amoxicillin og metronidazol"
MA02BD04,"pantoprazol, amoxicillin og clarithromycin"
MA02BD05,"omeprazol, amoxicillin og clarithromycin"
MA02BD06,"esomeprazol, amoxicillin og clarithromycin"
MA02BD07,"lansoprazol, amoxicillin og clarithromycin"
MA02BD08,"bismuth subcitrat, tetracyclin og metronidazol"
MA02BD09,"lansoprazol, clarithromycin og tinidazol"
MA02BD10,"lansoprazol, amoxicillin og levofloxacin"
MA02BD11,"pantoprazol, amoxicillin, clarithromycin og metronidazol"
MA02BD12,"rabeprazol, amoxicillin og clarithromycin"
MA02BD13,"rabeprazol, amoxicillin og metronidazol"
MA02BD14,"vonoprazan, amoxicillin og clarithromycin"
MA02BD15,"vonoprazan, amoxicillin og metronidazol"
MA02BD16,"omeprazol, amoxicillin og rifabutin"
MA02BX,andre midler mod mavesår og gastro-oesophageal reflux (gord)
MA02BX01,carbenoxolon
MA02BX02,sucralfat
MA02BX03,pirenzepin
MA02BX04,methiosulfoniumchlorid
MA02BX05,bismuthsubcitrat
MA02BX06,proglumid
MA02BX07,gefarnat
MA02BX08,sulglicotid
MA02BX09,acetoxolon
MA02BX10,zolimidin
MA02BX11,troxipid
MA02BX12,bismuthsubnitrat
MA02BX13,alginsyre
MA02BX14,rebamipid
MA02BX15,teprenon
MA02BX51,"carbenoxolon, komb. excl. psycholeptica"
MA02BX71,"carbenoxolon, komb. med psycholeptica"
MA02BX77,"gefarnat, komb. med psycholeptica"
MA02X,andre midler mod syrerelaterede forstyrrelser
MA03,midler mod funktionelle gastrointestinale forstyrrelser
MA03A,midler mod funktionelle gastrointestinale forstyrrelser
MA03AA,synt. anticholin.estere med tertiære aminogrupper
MA03AA01,oxyphencyclimin
MA03AA03,camylofin
MA03AA04,mebeverin
MA03AA05,trimebutin
MA03AA06,rociverin
MA03AA07,dicycloverin
MA03AA08,dihexyverin
MA03AA09,difemerin
MA03AA30,piperidolat
MA03AB,"synt. anticholinergica, kvarternære ammoniumforb."
MA03AB01,benzilon
MA03AB02,glycopyrron
MA03AB03,oxyphenon
MA03AB04,penthienat
MA03AB05,propanthelin
MA03AB06,otiloniumbromid
MA03AB07,methanthelin
MA03AB08,tridihexethyl
MA03AB09,isopropamid
